title,author
"Doing Aesthetics with Arendt: How to See Things (Columbia Themes in Philosophy, Social Criticism, and the Arts)",Cecilia SjÃ¶holm
Deleuze and Guattari's A Thousand Plateaus: A Critical Introduction and Guide,Brent Adkins
How to Practice: The Way to a Meaningful Life,Dalai Lama
"Living Buddha, Living Christ 20th-Anniversary Edition",Thich Nhat Hanh
Taking the Leap: Freeing Ourselves from Old Habits and Fears,Pema Chodron
Right Concentration: A Practical Guide to the Jhanas,Leigh Brasington
The Wise Heart: A Guide to the Universal Teachings of Buddhist Psychology,Jack Kornfield
Tao Te Ching,Lao Tzu
365 Tao: Daily Meditations,Ming-Dao Deng
Zen Page-A-Day Calendar 2016,David Schiller
The Pocket Pema Chodron (Shambhala Pocket Classics),Pema Chodron
Buddhism Plain and Simple,Steve Hagen
A Manual for Creating Atheists,Peter Boghossian
Objectivity,Lorraine J. Daston
Critique of Pure Reason (The Cambridge Edition of the Works of Immanuel Kant),Immanuel Kant
IB Theory of Knowledge Course Book: Oxford IB Diploma Program Course Book,Eileen Dombrowski
Epistemic Injustice: Power and the Ethics of Knowing,Miranda Fricker
Critique of Judgement (Oxford World's Classics),Immanuel Kant
Critique of Judgment (Hackett Classics),Immanuel Kant
Transformative Experience,L. A. Paul
Theory of Knowledge for the IB Diploma,Richard van de Lagemaat
"Epistemology: A Contemporary Introduction to the Theory of Knowledge, 3rd Edition",Robert Audi
Doubt: A History: The Great Doubters and Their Legacy of Innovation from Socrates and Jesus to Thomas Jefferson and Emily Dickinson,Jennifer Michael Hecht
On Being Certain: Believing You Are Right Even When You're Not,Robert A. Burton
De Anima (Penguin Classics),Aristotle
Skillful Coping: Essays on the phenomenology of everyday perception and action,Hubert L. Dreyfus
The Emergent Multiverse: Quantum Theory according to the Everett Interpretation,David Wallace
Kant,Allen W. Wood
Mental Representation and Consciousness: Towards a Phenomenological Theory of Representation and Reference (Contributions To Phenomenology),E. Marbach
Kant's Transcendental Deduction: An Analytical-Historical Commentary,Henry E. Allison
Forms of Talk (Conduct and Communication),Erving Goffman
Outside Color: Perceptual Science and the Puzzle of Color in Philosophy,M. Chirimuuta
Reference and Existence: The John Locke Lectures,Saul A. Kripke
Thinking Things Through: An Introduction to Philosophical Issues and Achievements,Clark Glymour
The World of Perception,Maurice Merleau-Ponty
"Rethinking Language, Mind, and Meaning (Carl G. Hempel Lecture Series)",Scott Soames
On Bullshit,Harry G. Frankfurt
A Guide to the Good Life: The Ancient Art of Stoic Joy,William B. Irvine
Ethics: Theory and Practice (Updated Edition) (11th Edition),Jacques P. Thiroux
The Most Good You Can Do: How Effective Altruism Is Changing Ideas About Living Ethically,Peter Singer
The Greatest Miracle in the World,Og Mandino
Upheavals of Thought: The Intelligence of Emotions,Martha C. Nussbaum
Managing in the Public Sector: A Casebook in Ethics and Leadership,Brett S. Sharp
The Elements of Moral Philosophy,James Rachels
Grounding for the Metaphysics of Morals: with On a Supposed Right to Lie because of Philanthropic Concerns (Hackett Classics),Immanuel Kant
I And Thou,Martin Buber
Teaching Your Children Values,Richard Eyre
Leviathan: With selected variants from the Latin edition of 1668 (Hackett Classics),Thomas Hobbes
The Protestant Ethic and the Spirit of Capitalism: and Other Writings (Penguin Twentieth-Century Classics),Max Weber
Ethics: Approaching Moral Decisions (Contours of Christian Philosophy),Arthur F. Holmes
How Adam Smith Can Change Your Life: An Unexpected Guide to Human Nature and Happiness,Russ Roberts
The Moral Landscape: How Science Can Determine Human Values,Sam Harris
Exploring Ethics: An Introductory Anthology,Steven M. Cahn
Beyond Religion: Ethics for a Whole World,Dalai Lama
Chosen by God,R. C. Sproul
Godwink Stories: A Devotional,SQuire Rushnell
Who's in Charge?: Free Will and the Science of the Brain,Michael S. Gazzaniga
"Brief Peeks Beyond: Critical Essays on Metaphysics, Neuroscience, Free Will, Skepticism and Culture",Bernardo Kastrup
PensÃ©es and Other Writings (Oxford World's Classics),Blaise Pascal
Bound: Essays on free will and responsibility,Shaun Nichols
Free: Why Science Hasn't Disproved Free Will,Alfred R. Mele
Human Kindness and the Smell of Warm Croissants: An Introduction to Ethics,Ruwen Ogien
"Synchronicity : Through the Eyes of Science, Myth and the Trickster",Allan Combs
Elective Affinities (Penguin Classics),Johann Wolfgang Von Goethe
Free Will and Determinism (Hackett Philosophical Dialogues),Clifford Williams
Self Reliance,Ralph Waldo Emerson
Making the Social World: The Structure of Human Civilization,John Searle
"Grace, Faith, Free Will",Robert E. Picirilli
Fooled by Randomness: The Hidden Role of Chance in Life and in the Markets 2nd (second) edition,Nassim Nicholas Taleb
"T.H. Green's Theory of Positive Freedom: From Metaphysics to Political Theory (British Idealist Studies, Series 3: Green)",Ben Wempe
Free Will (The MIT Press Essential Knowledge series),Mark Balaguer
"On Divine Foreknowledge: Part IV of the ""Concordia"" (Cornell Classics in Philosophy, ""Concordia"") (Pt.IV)",Luis De Molina
Abandonment to Divine Providence,Jean-Pierre Caussade
"Free Will and Predestination in Islamic Thought: Theoretical Compromises in the Works of Avicenna, al-Ghazali and Ibn 'Arabi (Routledge A Level English Guides)",Maria De Cillis
Essay on the Freedom of the Will (Philosophical Classics) (Royal Norwegian Society of Sciences Winner),Arthur Schopenhauer
The Form of Practical Knowledge: A Study of the Categorical Imperative,Stephen Engstrom
Freedom Evolves,Daniel C. Dennett
"Hungry Souls: Supernatural Visits, Messages, and Warnings from Purgatory",Gerard J.M. van den Aardweg
"Humanity: A Moral History of the Twentieth Century, Second Edition",Jonathan Glover
Beyond Good and Evil (Penguin Classics),Friedrich Nietzsche
On the Genealogy of Morals (Oxford World's Classics),Friedrich Nietzsche
Thus Spoke Zarathustra (A Thrifty Book): A Book for All and None,Friedrich Nietzsche
Angels And Devils,Joan Carroll Cruz
The Dogma of Hell: Illustrated by Facts Taken From Profane and Sacred History,Rev. Fr. F. X. Schouppe S.J.
Maldoror (Les Chants de Maldoror) (New Directions Paperbook),Comte de Lautreamont
Purity of Heart is to Will One Thing,SÃ¶ren Kierkegaard
The Many Faces of Evil (Revised and Expanded Edition): Theological Systems and the Problems of Evil,John S. Feinberg
Demons and Deliverance: In The Ministry Of Jesus  (Spiritual Warfare (Impact Christian)),Mr. Frank D. Hammond
Good and Evil,Martin Buber
Evil Incarnate: Rumors of Demonic Conspiracy and Satanic Abuse in History,David Frankfurter
Xunzi: Basic Writings (Translations from the Asian Classics),Xunzi
What's So Great about God: A Reasonable Defense of the Goodness of God in a World Filled with Suffering,Dinesh D'Souza
"Ecstasy, Catastrophe: Heidegger from Being and Time to the Black Notebooks (Suny Series in Contemporary Continental Philosophy (Hardcove)",David Farrell Krell
Seductions Of Crime: Moral And Sensual Attractions In Doing Evil,Jack Katz
Gorgias,Plato
The Problem of Evil: A Reader,Mark Larrimore
Beyond Good and Evil,Friedrich Wilhelm Nietzsche
Facing the Dragon: Confronting Personal and Spiritual Grandiosity,Robert L. Moore
Why Does God Permit Evil,Dom Bruno Webb
"Beverwijck: A Dutch Village on the American Frontier, 1652-1664",Janny Venema
Out of Eden: Adam and Eve and the Problem of Evil,Paul W. Kahn
"The Seven Capital Sins: Pride, Covetousness, Lust, Anger, Gluttony, Envy, Sloth",Adoration
Evil in Modern Thought: An Alternative History of Philosophy (Princeton Classics),Susan Neiman
"The Ascendancy of the Scientific Dictatorship: An Examination of Epistemic Autocracy, From the 19th to the 21st Century",Paul Collins
Ethics (Oxford Philosophical Texts),Spinoza
"Plato: Five Dialogues: Euthyphro, Apology, Crito, Meno, Phaedo (Hackett Classics)",Plato
Republic (Hackett Classics),Plato
Republic (Hackett Classics),Plato
"Discourses, Fragments, Handbook (Oxford Worlds Classics)",Epictetus
The Trial and Death of Socrates,Plato
"Aristotle's ""Politics"": Second Edition",Aristotle
"4 Texts on Socrates: Plato's Euthyphro, Apology of Socrates, Crito and Aristophanes' Clouds, Revised Edition",Plato
Oresteia,Aeschylus
Aristotle for Everybody: Difficult Thought Made Easy,Mortimer J. Adler
Dialogues and Essays (Oxford World's Classics),Seneca
The Inner Citadel: The <i>Meditations</i> of Marcus Aurelius (Meditations of Marcus Aurelius),Pierre Hadot
The Symposium (Penguin Classics),Plato
The Beginning of Western Philosophy: Interpretation of Anaximander and Parmenides (Studies in Continental Thought),Martin Heidegger
Plato and Parmenides (The International Library of Philosophy),Francis MacDonald Cornford
The Discourses of Epictetus - The Handbook - Fragments (Everyman's Library),Epictetus
Meditations (Everyman's Library (Cloth)),Marcus Aurelius
The Upanishads (Penguin Classics),Anonymous
A Secular Age,Charles Taylor
The Life of the Mind (Combined 2 Volumes in 1) (Vols 1&2),Hannah Arendt
The Consequences of Ideas: Understanding the Concepts that Shaped Our World,R. C. Sproul
Lost Enlightenment: Central Asia's Golden Age from the Arab Conquest to Tamerlane,S. Frederick Starr
On the Genealogy of Morals and Ecce Homo,Friedrich Nietzsche
"The works of Jeremy Bentham / published under the superintendence of his executor, John Bowring. Volume 2 of 11",Jeremy Bentham
Questions that Matter: An Invitation to Philosophy,Ed. Miller
Philosophy: The Quest For Truth,Louis P. Pojman
The Passion of the Western Mind: Understanding the Ideas that Have Shaped Our World View,Richard Tarnas
Reading the World: Ideas That Matter (Third Edition),Michael Austin
"Security, Territory, Population: Lectures at the CollÃ¨ge de France 1977--1978",Michel Foucault
A Little History of Philosophy,Nigel Warburton
On the Genealogy of Morality,Friedrich Wilhelm Nietzsche
Philosophy of Science: A Very Short Introduction,Samir Okasha
The Scientists: A History of Science Told Through the Lives of Its Greatest Inventors,John Gribbin
Exploring Philosophy: An Introductory Anthology,Steven M. Cahn
Philosophy: The Power of Ideas,Brooke Noel Moore
Neo-Scholastic Essays,Edward Feser
"Current Issues and Enduring Questions: A Guide to Critical Thinking and Argument, with Readings",Sylvan Barnet
Logically Fallacious: The Ultimate Collection of Over 300 Logical Fallacies (Academic Edition),Bo Bennett
Becoming a Critical Thinker: A User Friendly Manual (6th Edition) (MyThinkingLab Series),Sherry Diestler
THINK Critically (3rd Edition),Peter Facione
Tractatus Logico-Philosophicus,Ludwig Wittgenstein
How We Know What Isn't So: The Fallibility of Human Reason in Everyday Life,Thomas Gilovich
Introduction to Logic,Harry J. Gensler
"Nonsense: Red Herrings, Straw Men and Sacred Cows: How We Abuse Logic in Our Everyday Language",Robert J. Gula
Logic: A Very Short Introduction,Graham Priest
"Good Thinking: What You Need to Know to be Smarter, Safer, Wealthier, and Wiser",Guy P. Harrison
Logic and Contemporary Rhetoric: The Use of Reason in Everyday Life,Nancy M. Cavender
Thinking about Mathematics: The Philosophy of Mathematics,Stewart Shapiro
Reason & Argument (2nd Edition),Richard Feldman
An Introduction to Non-Classical Logic: From If to Is (Cambridge Introductions to Philosophy),Graham Priest
Cengage Advantage Books: Understanding Arguments: An Introduction to Informal Logic,Walter Sinnott-Armstrong
The Alphabet That Changed the World: How Genesis Preserves a Science of Consciousness in Geometry and Gesture,Stan Tenen
Tractatus Logico-Philosophicus (Routledge Classics),Ludwig Wittgenstein
Understanding Arguments: An Introduction to Informal Logic,Walter Sinnott-Armstrong
Speech Acts: An Essay in the Philosophy of Language,John R. Searle
Believing Bullshit: How Not to Get Sucked into an Intellectual Black Hole,Stephen Law
The Elements of Reasoning,Ronald Munson
"The Nature of Truth: An updated approach to the meaning of truth ascriptions (Logic, Epistemology, and the Unity of Science)",Maria Jose Frapolli
The Prophet (Vintage International),Kahlil Gibran
A Summa of the Summa,Thomas Aquinas
Stoic Philosophy of Seneca: Essays and Letters,Lucius Annaeus Seneca
"The Incoherence of the Philosophers, 2nd Edition (Brigham Young University - Islamic Translation Series)",Abu Hamid Muhammad al-Ghazali
The Consolation of Philosophy (Oxford World's Classics),Boethius
The Guide of the Perplexed (Hackett Classics),Moses Maimonides
"Provocative Form in Plato, Kant, Nietzsche (and Others)",Bernard Freydberg
Introduction To Saint Thomas Aquinas,Thomas Aquinas
Selected Philosophical Writings (Oxford World's Classics),Thomas Aquinas
Anselm: Basic Writings (Hackett Classics),Anselm
Summa Contra Gentiles: Book Three: Providence: Part I,St. Thomas Aquinas
Medieval Philosophy: An Historical and Philosophical Introduction,John Marenbon
Augustine: Political Writings (Cambridge Texts in the History of Political Thought),Augustine
Alfarabi and the Foundation of Islamic Political Philosophy,Muhsin S. Mahdi
Truth (3 Volume Set) (Hackett Classics),Thomas Aquinas
Medieval Philosophy: Essential Readings with Commentary,Gyula Klima
The Dream of Reason: A History of Philosophy from the Greeks to the Renaissance,Anthony Gottlieb
Thomas Aquinas: A Historical and Philosophical Profile,Pasquale Porro
"The Sentences, Book 4: On the Doctrine of Signs (Mediaeval Sources in Translation)",Peter Lombard
Seeking the Face of God: The Reception of Augustine in the Mystical Thought of Bernard of Clairvaux and William of St. Thierry (Studia Traditionis ... Explorations in Early and Medieval Theology),Carmen Angela Cvetkovic
"Augustine: City of God, Volume II, Books 4-7 (Loeb Classical Library No. 412)",Augustine
Consolation of Philosophy,Boethius
Duns Scotus - Philosophical Writings: A Selection,John Duns Scotus
The Kybalion: A Study of The Hermetic Philosophy of Ancient Egypt and Greece,Three Initiates
The Emerald Tablet Of  Hermes & The Kybalion: Two Classic Bookson Hermetic Philosophy,Hermes Trismegistus
The Three Waves of Volunteers and the New Earth,Dolores Cannon
Infinite Possibilities: The Art of Living Your Dreams,Mike Dooley
The Phenomenon of Man,Pierre Teilhard de Chardin
Totality and Infinity: An Essay on Exteriority (Philosophical Series),Emmanuel Levinas
The Idea of the Holy,R. Otto
Otherwise Than Being: Or Beyond Essence,Emmanuel Levinas
The Magical Approach: Seth Speaks About the Art of Creative Living (A Seth Book),Seth
The Psychic Life of Power: Theories in Subjection,Judith Butler
The Clock Of The Long Now: Time and Responsibility,Stewart Brand
The Reincarnation of Edgar Cayce?: Interdimensional Communication and Global Transformation,Wynn Free
"Realist Magic: Objects, Ontology, Causality (New Metaphysics)",Timothy Morton
A Magical Course in Tarot: Reading the Cards in a Whole New Way,Michele Morgan
From Science to Emancipation: Alienation and the Actuality of Enlightenment (Classical Texts in Critical Realism (Routledge Critical Realism)),Roy Bhaskar
The Manifestation Manifesto: Amazing Techniques and Strategies to Attract the Life You Want - No Visualization Required,Forbes Robbins Blair
Cannibal Metaphysics (Univocal),Eduardo Viveiros de Castro
Beyond Matter: Why Science Needs Metaphysics,Roger Trigg
MetafiÂ­sica 4 en 1. Vol I (Spanish Edition),Conny Mendez
"The Intellectual Life: Its Spirit, Conditions, Methods",OP A. G. Sertillanges
Conquest of Mind: Take Charge of Your Thoughts and Reshape Your Life Through Meditation (Essential Easwaran Library),Eknath Easwaran
Six SIGMA Green Belt Study Guide: Test Prep and Practice Questions for the Six SIGMA Green Belt Exam,Trivium Test Prep
InterViews: Learning the Craft of Qualitative Research Interviewing,Steinar Kvale
Meditations on First Philosophy: with Selections from the Objections and Replies (Oxford World's Classics),RenÃ© Descartes
More Precisely: The Math You Need to Do Philosophy,Eric Steinhart
"The Philosophy of Philosophy (The Blackwell / Brown Lectures in Philosophy, Vol. 2)",Timothy Williamson
Philosophical Reasoning: A Study in the Methodology of Philosophizing,Nicholas Rescher
"Aesthetics, Method, and Epistemology (Essential Works of Foucault, 1954-1984, Vol. 2)",Michel Foucault
Principles of the Philosophy of the Future (Hackett Classics),Ludwig Andreas Feuerbach
Methodical Realism,Etienne Gilson
Mind and Consciousness: 5 Questions,David Chalmers
What Is Philosophy?,JosÃ© Ortega y Gasset
Methodology of Research and Writing in Philosophy: A Guide,Prof Isaac E. Ukpokolo
Introducing Existentialism: A Graphic Guide,Richard Appignanesi
Decolonizing Methodologies - Research And Indigenous Peoples,Linda Tuhiwai Smith
Philosophy's Artful Conversation,D. N. Rodowick
"Political Science Research Methods, 6th Edition",Johnson J
CrÃ­tica de la razÃ³n pura (Spanish Edition),Emmanuel Kant
Descartes: Discourse On Method and the Meditations,Laurence J. Lafleur
A Short Course in Intellectual Self-Defense,Normand Baillargeon
Rhetoric,Aristotle
Brainchildren: Essays on Designing Minds,Daniel C. Dennettt
In Defense of Philosophy,Josef Pieper
Thus Spoke Zarathustra: A Book for Everyone and No One (Penguin Classics),Friedrich Nietzsche
Basic Writings of Nietzsche (Modern Library Classics),Friedrich Nietzsche
A Brief History of Everything,Ken Wilber
A Deeper Vision: The Catholic Intellectual Tradition in the Twentieth Century,Robert Royal
Essays and Aphorisms (Penguin Classics),Arthur Schopenhauer
Erasmus on His Times: A Shortened Version of the 'Adages' of Erasmus,Margaret Mann Phillips
The Essential Kierkegaard,SÃ¸ren Kierkegaard
The Sublime Object of Ideology (The Essential Zizek),Slavoj Zizek
"One-Dimensional Man: Studies in the Ideology of Advanced Industrial Society, 2nd Edition",Herbert Marcuse
Writing and Difference,Jacques Derrida
On Language: Chomsky's Classic Works Language and Responsibility and Reflections on Language in One Volume,Noam Chomsky
The Monk and the Philosopher: A Father and Son Discuss the Meaning of Life,Jean-Francois Revel
Fifty Readings in Philosophy,Donald Abel
The Anti-Christ,Friedrich Nietzsche
The Prince (Hackett Classics),Niccolo Machiavelli
The Praise of Folly and Other Writings (Norton Critical Editions),Desiderius Erasmus
Selected Philosophical Works (Bacon) (Hackett Publishing Co.),Francis Bacon
PensÃ©es,Blaise Pascal
Epitome of Copernican Astronomy and Harmonies of the World (Great Minds Series),Johannes Kepler
The Idea of Nature,Robin George Collingwood
Renaissance Thought and its Sources,Paul Oskar Kristeller
The Prince (Hackett Classics),Niccolo Machiavelli
"Into the Hearth, Poems-Volume 14 (The Traduka Wisdom Series)",Wendy E. Slater
The Great Humanists: An Introduction,Jonathan Arnold
Renaissance Philosophy (History of Western Philosophy),Brian P. Copenhaver
Pensees Publisher: Penguin Classics,Blaise Pascal
The Politics of Obedience: The Discourse of Voluntary Servitude,Etienne de La Boetie
Montaigne: Selected Essays: with La BoÃ©tie's Discourse on Voluntary Servitude (Hackett Classics),Michel de Montaigne
Michel de Montaigne: Selected Essays (Dover Thrift Editions),Michel de Montaigne
The Comedies of Machiavelli: The Woman from Andros; The Mandrake; Clizia (Hackett Classics),Niccolo Machiavelli
Descartes' Dualism,Gordon Baker
"Machiavelli's The Prince: Bold-faced Principles on Tactics, Power, and Politics (Bold-Faced Wisdom)",Niccolo Machiavelli
"Four Works On Llull: On the Compendious Architecture of Ramon Lull, Lullian Lamps, Scrutiny of the Subjects, Animadversions (Collected Works of Giordano Bruno) (Volume 3)",Giordano Bruno
The Portable MBA (Portable MBA Series) (The Portable MBA Series),Robert F. Bruner
"The Enlightenment: An Evaluation of its Assumptions, Attitudes, and Values, Vol. 4 (History of European Thought)",Norman Hampson
"When I Am Playing with My Cat, How Do I Know She Is Not Playing with Me?: Montaigne and Being in Touch with Life. Saul Frampton",Saul Frampton
Montaigne's Essays (3 Vol.),John Florio
The Routledge Guidebook to Aquinas' Summa Theologiae (The Routledge Guides to the Great Books),Jason T Eberl
"A History of Philosophy, Volume II: Renaissance, Enlgihtement, Modern",Wilhelm Windelband
The Sweetness of Power: Machiavelli's Discourses and Guicciardini's Considerations,Niccolo Machiavelli
Essays (Great Books in Philosophy),Michel de Montaigne
People of the Lie: The Hope for Healing Human Evil,M. Scott Peck
The Prince (Hardcover Classics),Niccolo Machiavelli
Wages of Rebellion,Chris Hedges
Ameritopia: The Unmaking of America,Mark R. Levin
"Anarchy, State, and Utopia",Robert Nozick
"The Birth of Biopolitics: Lectures at the CollÃ¨ge de France, 1978--1979 (Lectures at the College de France)",Michel Foucault
The Republic,Plato
How Propaganda Works,Jason Stanley
On Rhetoric: A Theory of Civic Discourse,Aristotle
Mikhail Bakunin: The Philosophical Basis of His Anarchism,Paul McLaughlin
The Revolution: A Manifesto,Ron Paul
On the Social Contract (Dover Thrift Editions),Jean-Jacques Rousseau
Meditations on First Philosophy,Rene Descartes
Sustainability: A Bedford Spotlight Reader,Christian R. Weisser
"After Virtue: A Study in Moral Theory, Second Edition",Alasdair MacIntyre
The Peaceable Kingdom: A Primer In Christian Ethics,Stanley Hauerwas
In the Dark Places of Wisdom,Peter Kingsley
Martin Buber's I and Thou: Practicing Living Dialogue,Kenneth Paul Kramer
"The Secret Doctrine: The Synthesis of Science, Religion, and Philosophy",Helena Petrovna Blavatsky
Routledge Philosophy GuideBook to Kant and the Critique of Pure Reason (Routledge Philosophy GuideBooks),Sebastian Gardner
Stand Into Danger (The Bolitho Novels) (Volume 2),Alexander Kent
Existence and Existents,Emmanuel Levinas
Cicero: On Moral Ends (Cambridge Texts in the History of Philosophy),Marcus Tullius Cicero
Markings,Dag HammarskjÃ¶ld
Archetypes of Wisdom: An Introduction to Philosophy (Available Titles CengageNOW),Douglas J. Soccio
One World: The Ethics of Globalization (The Terry Lectures),Peter Singer
Heads Up Philosophy,DK Publishing
Convention: A Philosophical Study,David Lewis
The Book of One,Dennis Waite
Philosophy of Religion: An Anthology,Louis P. Pojman
Hermits; The Insights of Solitude,Peter France
"Pope Francis: The Last Pope?: Money, Masons and Occultism in the Decline of the Catholic Church",Leo Lyon Zagami
"The Presence of the Infinite: The Spiritual Experience of Beauty, Truth, and Goodness",Steve McIntosh
"The Perennial Philosophy: An Interpretation of the Great Mystics, East and West",Aldous Huxley
"The Three Pillars of Zen: Teaching, Practice, and Enlightenment",Philip Kapleau Roshi
There Is a God: How the World's Most Notorious Atheist Changed His Mind,Antony Flew
World Religions,Warren Matthews
The Prophets (Perennial Classics),Abraham J. Heschel
Talks on the Parasha,Adin Steinsaltz
Reinhold Niebuhr: Major Works on Religion and Politics: (Library of America #263),Reinhold Niebuhr
Yoga: Discipline of Freedom: The Yoga Sutra Attributed to Patanjali,Patanjali
Dynamics of Faith (Perennial Classics),Paul Tillich
The Divine Milieu (Perennial Classics),Pierre Teilhard de Chardin
Augustine: Conversions to Confessions,Robin Lane Fox
The Pursuit of God,A. W. Tozer
"Terra Firma: the Earth Not a Planet, Proved from Scripture, Reason, and Fact",David Wardlaw Scott
A Conflict of Visions: Ideological Origins of Political Struggles,Thomas Sowell
The Meaning of Friendship,Mark Vernon
What Philosophy Can Do,Gary Gutting
"Dialectic of Enlightenment as Sport: The Barbaric Urge within Sports, Religion, and Capitalism",Tom Donovan
"Less Than Human: Why We Demean, Enslave, and Exterminate Others",David Livingstone Smith
On Kindness,Adam Phillips
Social Ethics: Morality and Social Policy,Thomas Mappes
A New Philosophy of Society: Assemblage Theory and Social Complexity,Manuel DeLanda
"Together: The Rituals, Pleasures and Politics of Cooperation",Richard Sennett
The Ordeal of Change,Eric Hoffer
Justice for Hedgehogs,Ronald Dworkin
How to be a conservative,Roger Scruton
The Intolerant Indian: Why We Must Rediscover A Liberal Space,Gautam Adhikari
Speaking into the Air: A History of the Idea of Communication,John Durham Peters
Hegel (Studies in Continental Thought),Martin Heidegger
The Holy Kabbalah (Dover Occult),A. E. Waite
"The Shock of History: Religion, Memory, Identity",Dominique Venner
"Love and Lies: An Essay on Truthfulness, Deceit, and the Growth and Care of Erotic Love",Clancy Martin
Civil Society: The Critical History of an Idea,John R. Ehrenberg
"The outline of sanity,",G. K Chesterton
Reveries of the Solitary Walker (Oxford World's Classics),Jean-Jacques Rousseau
Chasing the Scream: The First and Last Days of the War on Drugs,Johann Hari
Rules for Radicals: A Practical Primer for Realistic Radicals,Saul D. Alinsky
Architects of Disaster: The Destruction of Libya (The Calamo Press),Peter Hoekstra
"Fracture: Barack Obama, the Clintons, and the Racial Divide",Joy-Ann Reid
Leadership in Organizations (8th Edition),Gary A. Yukl
Liberty and Tyranny: A Conservative Manifesto,Mark R. Levin
"More Guns, Less Crime: Understanding Crime and Gun Control Laws, Third Edition (Studies in Law and Economics)",John R. Lott Jr.
"American Government, Essentials Edition",James Q. Wilson
American Government (14th Edition),Walter E. Volkomer
"The Conservatarian Manifesto: Libertarians, Conservatives, and the Fight for the Right's Future",Charles C.W. Cooke
Politics of Congressional Elections,Gary C. Jacobson
"Government in America, 2014 Elections and Updates Edition (16th Edition)",George C. Edwards III
"American Government and Politics Today: Essentials 2015-2016 Edition (with MindTap Political Science, 1 term (6 months) Printed Access Card) (I Vote for MindTap)",Barbara A. Bardes
Democracy in America,Alexis de Tocqueville
Principles and Practice of American Politics: Classic and Contemporary Readings,Samuel Kernell
How Do You Kill 11 Million People?: Why the Truth Matters More Than You Think,Andy Andrews
Why Civil Resistance Works: The Strategic Logic of Nonviolent Conflict (Columbia Studies in Terrorism and Irregular Warfare),Erica Chenoweth
American Government: Power and Purpose (Brief Thirteenth Edition),Theodore J. Lowi
"Things That Matter: Three Decades of Passions, Pastimes and Politics",Charles Krauthammer
Blood Feud: The Clintons vs. The Obamas,Edward Klein
Democracy in America (Penguin Classics),Alexis de Tocqueville
The Clash of Civilizations and the Remaking of World Order,Samuel P. Huntington
ISIS: The State of Terror,Jessica Stern
American Will: The Forgotten Choices That Changed Our Republic,Bobby Jindal
The Naked Communist (The Naked Series) (Volume 1),W. Cleon Skousen
In the President's Secret Service: Behind the Scenes with Agents in the Line of Fire and the Presidents They Protect,Ronald Kessler
Against Our Better Judgment: The Hidden History of How the U.S. Was Used to Create Israel,Alison Weir
Dog Whistle Politics: How Coded Racial Appeals Have Reinvented Racism and Wrecked the Middle Class,Ian Haney LÃ³pez
We the People (Tenth Essentials Edition),Benjamin Ginsberg
All the President's Men,Bob Woodward
"Cengage Advantage Books: American Government and Politics Today, Brief Edition, 2014-2015 (with CourseMate Printed Access Card)",Steffen W. Schmidt
We the People (Core Tenth Edition),Benjamin Ginsberg
The Logic of American Politics,Samuel Kernell
Evaluating Practice: Guidelines for the Accountable Professional (6th Edition),Martin Bloom
Designing and Managing Programs: An Effectiveness-Based Approach (SAGE Sourcebooks for the Human Services),Peter M. Kettner
America the Beautiful: Rediscovering What Made This Nation Great,Ben Carson  M.D.
American Conspiracies,Jesse Ventura
Texas Politics,Charldean Newell
Team of Rivals: The Political Genius of Abraham Lincoln,Doris Kearns Goodwin
When Helping Hurts: How to Alleviate Poverty Without Hurting the Poor . . . and Yourself,Steve Corbett
Understanding and Using English Grammar with Audio CDs and Answer Key (4th Edition),Betty Schrampfer Azar
"Toxic Charity: How Churches and Charities Hurt Those They Help, And How to Reverse It",Robert D. Lupton
There Are No Children Here: The Story of Two Boys Growing Up in The Other America,Alex Kotlowitz
Shapeshifters: Black Girls and the Choreography of Citizenship,Aimee Meredith Cox
Children,John Santrock
Infancy: Development From Birth to Age 3 (2nd Edition),Dana Gross
The Hurried Child-25th Anniversary Edition,David Elkind
"Unequal Childhoods: Class, Race, and Family Life",Annette Lareau
South Side Girls: Growing Up in the Great Migration,Marcia Chatelain
Class War: The Privatization of Childhood (Jacobin),Megan Erickson
"Long Shadow, The: Family Background, Disadvantaged Urban Youth, and the Transition to Adulthood (American Sociological Association's Rose Series in Sociology)",Karl Alexander
The World of Children (3rd Edition),Greg Cook
When Your Child Has Been Molested: A Parents' Guide to Healing and Recovery,Kathryn Brohl
Childhood and Nature: Design Principles for Educators,David Sobel
Child Life in Hospitals: Theory and Practice,Richard Howard Thompson
"Children, Adolescents, and the Media",Victor C. Strasburger
Child Abuse and Neglect: Second Edition,Monica L. McCoy
Huck Finn's America: Mark Twain and the Era That Shaped His Masterpiece,Andrew Levy
"Street Kids: Homeless Youth, Outreach, and Policing New York's Streets",Kristina E. Gibson
Somebody's Daughter: The Hidden Story of America's Prostituted Children and the Battle to Save Them,Julian Sher
Understanding Human Communication,Ronald B. Adler
Speak Up!: An Illustrated Guide to Public Speaking,Douglas M. Fraleigh
Technocracy Rising: The Trojan Horse Of Global Transformation,Patrick M. Wood
Well Said: Pronunciation for Clear Communication,Linda Grant
Reflect and Relate: An Introduction to Interpersonal Communication,Steven McCornack
"Find Out Anything From Anyone, Anytime: Secrets of Calculated Questioning From a Veteran Interrogator",James Pyle
Notes on the Death of Culture: Essays on Spectacle and Society,Mario Vargas Llosa
